fecha,habilidad,actividad,minutos,modo,cantidad,unidad,notas
2026-09-09,listening,Escucha pasiva (bus / tareas),21,pasivo,,minutos-audio,
2026-09-10,vocabulary,Anki FSRS,17,activo,105,tarjetas,
2026-09-10,speaking,Pronunciación / shadowing,10,activo,,,
2026-09-10,reading,Lectura extensiva (graded reader),15,activo,1635,palabras,
2026-09-10,listening,Escucha extensiva (podcast),17,activo,,minutos-audio,
2026-09-10,writing,Reescritura + lista de errores,24,activo,,,
2026-09-10,writing,Escritura cronometrada,11,activo,121,palabras,
2026-09-10,reading,Lectura rápida (fluidez),10,activo,1610,palabras,
2026-09-10,listening,Escucha pasiva (bus / tareas),44,pasivo,,minutos-audio,
2026-09-11,vocabulary,Anki FSRS,17,activo,127,tarjetas,
2026-09-11,grammar,Gramática + ejercicios,9,activo,,,
2026-09-11,reading,Lectura extensiva (graded reader),13,activo,1560,palabras,
2026-09-11,listening,Escucha extensiva (podcast),12,activo,,minutos-audio,
2026-09-11,speaking,Conversación (humano),33,activo,,,
2026-09-11,speaking,4/3/2,14,activo,,,
2026-09-11,reading,Lectura rápida (fluidez),10,activo,1590,palabras,
2026-09-12,vocabulary,Anki FSRS,18,activo,125,tarjetas,
2026-09-12,reading,Lectura extensiva (graded reader),18,activo,2016,palabras,
2026-09-12,listening,Escucha extensiva (podcast),13,activo,,minutos-audio,
2026-09-12,reading,Lectura rápida (fluidez),7,activo,1092,palabras,
2026-09-14,vocabulary,Anki FSRS,15,activo,91,tarjetas,
2026-09-14,grammar,Gramática + ejercicios,10,activo,,,
2026-09-14,reading,Lectura extensiva (graded reader),14,activo,1652,palabras,
2026-09-14,listening,Escucha extensiva (podcast),12,activo,,minutos-audio,
2026-09-14,speaking,Conversación (humano),34,activo,,,
2026-09-14,speaking,4/3/2,12,activo,,,
2026-09-14,reading,Lectura rápida (fluidez),6,activo,882,palabras,
2026-09-14,listening,Escucha pasiva (bus / tareas),22,pasivo,,minutos-audio,
2026-09-15,vocabulary,Anki FSRS,17,activo,160,tarjetas,
2026-09-15,speaking,Pronunciación / shadowing,9,activo,,,
2026-09-15,reading,Lectura extensiva (graded reader),17,activo,1972,palabras,
2026-09-15,listening,Escucha extensiva (podcast),15,activo,,minutos-audio,
2026-09-15,writing,Texto + feedback (Write & Improve),32,activo,224,palabras,
2026-09-15,writing,Escritura cronometrada,9,activo,99,palabras,
2026-09-15,reading,Lectura rápida (fluidez),8,activo,1240,palabras,
2026-09-16,vocabulary,Anki FSRS,16,activo,105,tarjetas,
2026-09-16,grammar,Gramática + ejercicios,11,activo,,,
2026-09-16,reading,Lectura extensiva (graded reader),18,activo,2358,palabras,
2026-09-16,listening,Escucha extensiva (podcast),16,activo,,minutos-audio,
2026-09-16,speaking,Conversación (IA),21,activo,,,
2026-09-16,speaking,4/3/2,15,activo,,,
2026-09-16,reading,Lectura rápida (fluidez),9,activo,1467,palabras,
2026-09-16,listening,Escucha pasiva (bus / tareas),45,pasivo,,minutos-audio,
2026-09-17,vocabulary,Anki FSRS,17,activo,166,tarjetas,
2026-09-17,speaking,Pronunciación / shadowing,10,activo,,,
2026-09-17,reading,Lectura extensiva (graded reader),14,activo,1708,palabras,
2026-09-17,listening,Escucha extensiva (podcast),18,activo,,minutos-audio,
2026-09-17,writing,Reescritura + lista de errores,20,activo,,,
2026-09-17,writing,Escritura cronometrada,11,activo,121,palabras,
2026-09-17,reading,Lectura rápida (fluidez),10,activo,1430,palabras,
2026-09-17,listening,Escucha pasiva (bus / tareas),30,pasivo,,minutos-audio,
2026-09-18,vocabulary,Anki FSRS,16,activo,145,tarjetas,
2026-09-18,grammar,Gramática + ejercicios,12,activo,,,
2026-09-18,reading,Lectura extensiva (graded reader),16,activo,1920,palabras,
2026-09-18,listening,Escucha extensiva (podcast),18,activo,,minutos-audio,
2026-09-18,speaking,Conversación (humano),35,activo,,,
2026-09-18,speaking,4/3/2,15,activo,,,
2026-09-18,reading,Lectura rápida (fluidez),8,activo,1328,palabras,
2026-09-19,vocabulary,Anki FSRS,18,activo,167,tarjetas,
2026-09-19,reading,Lectura extensiva (graded reader),12,activo,1524,palabras,
2026-09-19,listening,Escucha extensiva (podcast),14,activo,,minutos-audio,
2026-09-19,reading,Lectura rápida (fluidez),9,activo,1467,palabras,
2026-09-20,vocabulary,Anki FSRS,17,activo,118,tarjetas,
2026-09-20,reading,Lectura extensiva (graded reader),14,activo,1764,palabras,
2026-09-20,listening,Escucha extensiva (podcast),17,activo,,minutos-audio,
2026-09-20,listening,Escucha pasiva (bus / tareas),23,pasivo,,minutos-audio,
2026-09-21,vocabulary,Anki FSRS,22,activo,162,tarjetas,
2026-09-21,grammar,Gramática + ejercicios,12,activo,,,
2026-09-21,reading,Lectura extensiva (graded reader),17,activo,2278,palabras,
2026-09-21,listening,Escucha extensiva (podcast),14,activo,,minutos-audio,
2026-09-21,speaking,Conversación (humano),32,activo,,,
2026-09-21,speaking,4/3/2,14,activo,,,
2026-09-21,reading,Lectura rápida (fluidez),9,activo,1350,palabras,
2026-09-21,listening,Escucha pasiva (bus / tareas),43,pasivo,,minutos-audio,
2026-09-22,listening,Escucha pasiva (bus / tareas),31,pasivo,,minutos-audio,
2026-09-23,vocabulary,Anki FSRS,15,activo,136,tarjetas,
2026-09-23,grammar,Gramática + ejercicios,11,activo,,,
2026-09-23,reading,Lectura extensiva (graded reader),16,activo,1872,palabras,
2026-09-23,listening,Escucha extensiva (podcast),18,activo,,minutos-audio,
2026-09-23,speaking,Conversación (IA),21,activo,,,
2026-09-23,speaking,4/3/2,14,activo,,,
2026-09-23,reading,Lectura rápida (fluidez),9,activo,1413,palabras,
2026-09-23,listening,Escucha pasiva (bus / tareas),38,pasivo,,minutos-audio,
2026-09-24,vocabulary,Anki FSRS,17,activo,101,tarjetas,
2026-09-24,speaking,Pronunciación / shadowing,11,activo,,,
2026-09-24,reading,Lectura extensiva (graded reader),18,activo,2052,palabras,
2026-09-24,listening,Escucha extensiva (podcast),18,activo,,minutos-audio,
2026-09-24,writing,Reescritura + lista de errores,18,activo,,,
2026-09-24,writing,Escritura cronometrada,9,activo,81,palabras,
2026-09-24,reading,Lectura rápida (fluidez),10,activo,1450,palabras,
2026-09-24,listening,Escucha pasiva (bus / tareas),20,pasivo,,minutos-audio,
